Time,Eye contact,Synchrony shift,Section
00:00:11:580,0,0,part1
00:00:11:600,0,0,part1
00:00:11:620,0,0,part1
00:00:11:640,0,0,part1
00:00:11:660,0,0,part1
00:00:11:680,0,0,part1
00:00:11:700,0,0,part1
00:00:11:720,0,0,part1
00:00:11:740,0,0,part1
00:00:11:760,0,0,part1
00:00:11:780,0,0,part1
00:00:11:800,0,0,part1
00:00:11:820,0,0,part1
00:00:11:840,0,0,part1
00:00:11:860,0,0,part1
00:00:11:880,0,0,part1
00:00:11:900,0,0,part1
00:00:11:920,0,0,part1
00:00:11:940,0,0,part1
00:00:11:960,0,0,part1
00:00:11:980,0,0,part1
00:00:12:000,0,0,part1
00:00:12:020,0,0,part1
00:00:12:040,0,0,part1
00:00:12:060,0,0,part1
00:00:12:080,0,0,part1
00:00:12:100,0,0,part1
00:00:12:120,0,0,part1
00:00:12:140,0,0,part1
00:00:12:160,0,0,part1
00:00:12:180,0,0,part1
00:00:12:200,0,0,part1
00:00:12:220,0,0,part1
00:00:12:240,0,0,part1
00:00:12:260,0,0,part1
00:00:12:280,0,0,part1
00:00:12:300,0,0,part1
00:00:12:320,0,0,part1
00:00:12:340,0,0,part1
00:00:12:360,0,0,part1
00:00:12:380,0,0,part1
00:00:12:400,0,0,part1
00:00:12:420,0,0,part1
00:00:12:440,0,0,part1
00:00:12:460,0,0,part1
00:00:12:480,0,0,part1
00:00:12:500,0,0,part1
00:00:12:520,0,0,part1
00:00:12:540,0,0,part1
00:00:12:560,0,0,part1
00:00:12:580,0,0,part1
00:00:12:600,0,0,part1
00:00:12:620,0,0,part1
00:00:12:640,0,0,part1
00:00:12:660,0,0,part1
00:00:12:680,0,0,part1
00:00:12:700,0,0,part1
00:00:12:720,0,0,part1
00:00:12:740,0,0,part1
00:00:12:760,0,0,part1
00:00:12:780,0,0,part1
00:00:12:800,0,0,part1
00:00:12:820,0,0,part1
00:00:12:840,0,0,part1
00:00:12:860,0,0,part1
00:00:12:880,0,0,part1
00:00:12:900,0,0,part1
00:00:12:920,0,0,part1
00:00:12:940,0,0,part1
00:00:12:960,0,0,part1
00:00:12:980,0,0,part1
00:00:13:000,0,0,part1
00:00:13:020,0,0,part1
00:00:13:040,0,0,part1
00:00:13:060,0,0,part1
00:00:13:080,0,0,part1
00:00:13:100,0,0,part1
00:00:13:120,0,0,part1
00:00:13:140,0,0,part1
00:00:13:160,0,0,part1
00:00:13:180,0,0,part1
00:00:13:200,0,0,part1
00:00:13:220,0,0,part1
00:00:13:240,0,0,part1
